Month,Actual,Predicted
2023-06,7,6.9998827
2023-06,16,15.999347
2023-06,2,2.0000343
2023-06,7,6.9998827
2023-06,6,5.9999456
2023-06,5,4.9999757
2023-06,1,1.0000943
2023-06,9,8.999813
2023-06,7,6.9998827
2023-06,3,3.0000074
2023-06,7,6.9998827
2023-06,7,6.9998827
2023-06,6,5.9999456
2023-06,8,7.9998355
2023-06,5,4.9999757
2023-06,1,1.0000943
2023-06,1,1.0000943
2023-06,3,3.0000074
2023-06,5,4.9999757
2023-06,6,5.9999456
2023-06,11,10.999747
2023-06,1,1.0000943
2023-06,7,6.9998827
2023-06,4,3.9999979
2023-06,1,1.0000943
2023-06,7,6.9998827
2023-06,8,7.9998355
2023-06,1,1.0000943
2023-07,9,8.999813
2023-07,8,7.9998355
2023-07,12,11.999688
2023-07,15,14.999403
2023-07,9,8.999813
2023-07,14,13.999542
2023-07,10,9.99978
2023-07,13,12.999597
2023-07,16,15.999347
2023-07,18,17.998474
2023-07,6,5.9999456
2023-07,9,8.999813
2023-07,7,6.9998827
2023-07,5,4.9999757
2023-07,1,1.0000943
2023-07,4,3.9999979
2023-07,3,3.0000074
2023-07,9,8.999813
2023-07,5,4.9999757
2023-07,3,3.0000074
2023-07,7,6.9998827
2023-07,1,1.0000943
2023-07,7,6.9998827
2023-07,3,3.0000074
2023-07,9,8.999813
2023-07,4,3.9999979
2023-07,2,2.0000343
2023-08,5,4.9999757
2023-08,16,15.999347
2023-08,10,9.99978
2023-08,11,10.999747
2023-08,9,8.999813
2023-08,7,6.9998827
2023-08,10,9.99978
2023-08,18,17.998474
2023-08,9,8.999813
2023-08,8,7.9998355
2023-08,11,10.999747
2023-08,10,9.99978
2023-08,9,8.999813
2023-08,14,13.999542
2023-08,8,7.9998355
2023-08,4,3.9999979
2023-08,8,7.9998355
2023-08,12,11.999688
2023-08,5,4.9999757
2023-08,12,11.999688
2023-08,2,2.0000343
2023-08,16,15.999347
2023-08,7,6.9998827
2023-08,18,17.998474
2023-08,15,14.999403
2023-08,3,3.0000074
2023-09,5,4.9999757
2023-09,9,8.999813
2023-09,5,4.9999757
2023-09,3,3.0000074
2023-09,6,5.9999456
2023-09,3,3.0000074
2023-09,7,6.9998827
2023-09,5,4.9999757
2023-09,2,2.0000343
2023-09,3,3.0000074
2023-09,2,2.0000343
2023-09,5,4.9999757
2023-09,4,3.9999979
2023-09,3,3.0000074
2023-09,5,4.9999757
2023-09,4,3.9999979
2023-09,1,1.0000943
2023-09,6,5.9999456
2023-09,12,11.999688
2023-09,5,4.9999757
2023-09,3,3.0000074
2023-09,1,1.0000943
2023-09,1,1.0000943
